proposal_id,title,voting_date,f_statistic,p_value,eta_squared,mean_range,n_municipalities,n_groups,category,significant,highly_significant
146,Volksinitiative «Für eine faire Verkehrsfinanzierung»,20160605,70.51606241315757,3.838470979484596e-80,0.1694353405031193,7.782978795658607,2081,7,Grossregionen,True,True
147,"Bundesgesetz über die medizinisch unterstützte Fortpflanzung (Fortpflanzungsmedizingesetz, FMedG)",20160605,232.1971872884352,3.2797927098305883e-227,0.40181988490748555,24.654966777180114,2081,7,Grossregionen,True,True
148,Änderung des Asylgesetzes (AsylG),20160605,36.305526813987846,5.206398638240094e-42,0.095047564806119,11.002213010055975,2081,7,Grossregionen,True,True
149,Volksinitiative «Für eine nachhaltige und ressourceneffiziente Wirtschaft (Grüne Wirtschaft)»,20160925,95.37160011232173,4.684203217984669e-106,0.21624336774412797,16.88084377782343,2081,7,Grossregionen,True,True
150,Volksinitiative «AHVplus: für eine starke AHV»,20160925,147.48153821024414,4.523465988009133e-156,0.2990612897943235,26.468115197589203,2081,7,Grossregionen,True,True
151,"Bundesgesetz über den Nachrichtendienst (Nachrichtendienstgesetz, NDG)",20160925,68.8329213902137,2.4652636555805554e-78,0.16606270156478012,7.885506218326071,2081,7,Grossregionen,True,True
152,Volksinitiative «Für den geordneten Ausstieg aus der Atomenergie»,20161127,105.59821060204206,2.601966297838496e-116,0.2340049401610371,16.801951548334728,2081,7,Grossregionen,True,True
153,Bundesbeschluss über die erleichterte Einbürgerung von Personen der dritten Ausländergeneration,20170212,169.80368564330098,6.332486648791101e-176,0.32941503790152565,20.76409115296255,2081,7,Grossregionen,True,True
154,Bundesbeschluss über die Schaffung eines Fonds für die Nationalstrassen und den Agglomerationsverkehr,20170212,129.97990233951532,7.09792049176796e-140,0.2732699252116877,11.102713829952421,2081,7,Grossregionen,True,True
155,Bundesgesetz über steuerliche Massnahmen zur Stärkung der Wettbewerbsfähigkeit des Unternehmensstandorts Schweiz,20170212,264.72038659518927,8.3629403989810095e-252,0.4336926630087357,15.756155913978503,2081,7,Grossregionen,True,True
156,Energiegesetz (EnG),20170521,234.6565221957678,4.061236727359181e-229,0.4043548951675495,21.078084469850182,2081,7,Grossregionen,True,True
157,Bundesbeschluss über die Ernährungssicherheit,20170924,374.5711388273858,0.0,0.5200659226301602,17.144482770790106,2081,7,Grossregionen,True,True
158,Bundesbeschluss über die Zusatzfinanzierung der AHV durch eine Erhöhung der Mehrwertsteuer,20170924,63.34243682057321,2.1727393695071289e-72,0.1548680366292862,13.229719882199845,2081,7,Grossregionen,True,True
159,Bundesgesetz über die Reform der Altersvorsorge 2020,20170924,62.29459281897011,3.020605926968125e-71,0.15269732448985976,14.054314088076154,2081,7,Grossregionen,True,True
160,Bundesbeschluss über die neue Finanzordnung 2021,20180304,56.623176135651676,5.155849552293197e-65,0.1406939005915506,4.560925596623633,2082,7,Grossregionen,True,True
161,Volksinitiative «Ja zur Abschaffung der Radio- und Fernsehgebühren (Abschaffung der Billag-Gebühren)»,20180304,78.6861688819857,7.987814520611088e-89,0.18535348428368695,8.672224389790752,2082,7,Grossregionen,True,True
162,Volksinitiative «Für krisensicheres Geld: Geldschöpfung allein durch die Nationalbank! (Vollgeld-Initiative),20180610,14.647371271075725,1.9008830600855564e-16,0.04063288571062279,5.517635093486749,2082,7,Grossregionen,True,True
163,Bundesgesetz über Geldspiele (Geldspielgesetz),20180610,339.71887492787613,6.390195704701048e-304,0.495540486682286,18.532666639499027,2082,7,Grossregionen,True,True
